OBJECTID,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_3409_LABEL,Shape__Area,Shape__Length
272,267146,TALLAGHT-OLDBAWN, ,DUBLIN,Baile Átha Cliath,Leinster,708653.974340639,726847.511634782,2AE196291CCE13A3E055000000000001,03038,267146,Tallaght-Oldbawn,0.00019874864961,0.066475754306276
273,37147,TEMPLEMALEY, ,CLARE,An Clár,Munster,532375.038375785,682482.800333026,2AE19629201713A3E055000000000001,16043,37147,Templemaley,0.002909693752154,0.500477569237702
274,167038,JULIANSTOWN, ,MEATH,An Mhí,Leinster,712958.970390203,769904.304564315,2AE1962918BD13A3E055000000000001,11045,167038,Julianstown,0.006762306446998,0.525125756690084
275,157143,STRADE, ,MAYO,Maigh Eo,Connacht,525001.413595958,798927.975880623,2AE19629189913A3E055000000000001,29081,157143,Strade,0.004859935875409,0.53833184388042
276,48047,MONTENOTTE A, ,CORK,Corcaigh,Munster,568878.635145267,572872.900472088,2AE19629219213A3E055000000000001,17047,48047,Montenotte A,4.2509338303e-05,0.027826979598438
277,257048,KILCOOLE, ,WICKLOW,Cill Mhantáin,Leinster,727985.601711366,708893.064910925,2AE196291E6113A3E055000000000001,15056,257048,Kilcoole,0.003209572033717,0.384725086418367
278,97060,KILKEASY,Cill Chéise,KILKENNY,Cill Chainnigh,Leinster,652849.92031649,630323.748633659,2AE19629240B13A3E055000000000001,07078,97060,Kilkeasy,0.002419895412471,0.303308060714777
279,17041,RATHRUSH, ,CARLOW,Ceatharlach,Leinster,681295.229644961,668307.124921148,2AE1962918C313A3E055000000000001,01040,17041,Rathrush,0.003123888730086,0.276577005243001
280,177067,St. TIERNEY,Toghroinn Cheantair Thiarnaigh,MONAGHAN,Muineachán,Ulster,655842.371872183,829440.704411036,2AE196291AC413A3E055000000000001,34046,177067,St. Tierney,0.001863149515816,0.265838768002872
281,87024,CHURCHTOWN, ,KILDARE,Cill Dara,Leinster,663446.492595209,696004.461067404,2AE19629229813A3E055000000000001,06014,87024,Churchtown,0.002509976892335,0.28478889207366
282,37081,KILLANENA, ,CLARE,An Clár,Munster,554000.328544967,695077.203396232,2AE196291FAC13A3E055000000000001,16145,37081,Killanena,0.004838483422204,0.402534802620297
283,17013,CLONEGALL, ,CARLOW,Ceatharlach,Leinster,690092.951509409,661944.149122763,2AE19629185A13A3E055000000000001,01021,17013,Clonegall,0.003107955838516,0.311910103208385
284,268121,PRIORSWOOD A, ,DUBLIN,Baile Átha Cliath,Leinster,718475.036138215,740907.834567408,2AE196291DCC13A3E055000000000001,02080,268121,Priorswood A,0.000234603210379,0.076412471671996
285,107023,CAPPALOUGH, ,LAOIS,Laois,Leinster,640488.036900516,715767.929224996,2AE1962916BE13A3E055000000000001,08047,107023,Cappalough,0.002206201655688,0.305236194493435
286,97036,DYSARTMOON,Díseart Muáin,KILKENNY,Cill Chainnigh,Leinster,666872.636788735,629407.590198266,2AE1962923DB13A3E055000000000001,07034,97036,Dysartmoon,0.001438501159993,0.197959433860946
287,57031,CAVANGARDEN, ,DONEGAL,Dún na nGall,Ulster,595374.878354871,866378.624675339,2AE19629208213A3E055000000000001,33009,57031,Cavangarden,0.005002806367178,0.529730132147196
288,157146,TAWNYNAGRY,Tamhnaigh na Graí,MAYO,Maigh Eo,Connacht,511220.208800292,776976.558003958,2AE1962918A313A3E055000000000001,29082,157146,Tamhnaigh na Graí,0.00479729579034,0.528637691981883
289,117032,DRUMREILLY NORTH, ,LEITRIM,Liatroim,Connacht,617085.388351379,809072.376812951,2AE19629171413A3E055000000000001,28004,117032,Drumreilly North,0.001714620347516,0.197558593101234
290,257013,BALLYBEG, ,WICKLOW,Cill Mhantáin,Leinster,702902.848310444,677920.199348047,2AE196291E8D13A3E055000000000001,15070,257013,Ballybeg,0.002457280590036,0.320577790245695
291,147003,BALLYMASCANLAN,Baile Mhic Scanláin,LOUTH,Lú,Leinster,707540.813558629,811315.676915377,2AE19629195013A3E055000000000001,10019,147003,Ballymascanlan,0.003432220904176,0.466850409517183
292,157134,ROSLEE, ,MAYO,Maigh Eo,Connacht,523141.893502476,778848.743632568,2AE19629187613A3E055000000000001,29049,157134,Roslee,0.002247856470321,0.352402880722837
293,48052,SHANDON A, ,CORK,Corcaigh,Munster,567300.669976536,572571.09442353,2AE19629219713A3E055000000000001,17055,48052,Shandon A,2.4777842993e-05,0.02917078361515
294,207003,ACLARE, ,SLIGO,Sligeach,Connacht,537567.950231479,809839.744135225,2AE196291A1013A3E055000000000001,31064,207003,Aclare,0.003382302637176,0.467885161259945
295,127003,ABINGTON,Mainistir Uaithne,LIMERICK,Luimneach,Munster,573813.680421452,653715.69128177,2AE19629175913A3E055000000000001,21049,127003,Abington,0.002926900361497,0.386324686342383
296,47093,CLENOR, ,CORK,Corcaigh,Munster,562153.098577977,603164.294219307,2AE196291EF313A3E055000000000001,18228,47093,Clenor,0.002676585752208,0.378352533597284
